what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505778841438
closed,view,org.eclipse.ui,3.108.1.v20160929-1045,"org.eclipse.ui.internal.introview",1505778843281
activated,view,org.eclipse.ui.navigator.resources,3.5.101.v20161006-0640,"org.eclipse.ui.navigator.ProjectExplorer",1505778843680
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505778858113
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505778870949
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505778875142
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505778931638
executed,command,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.e4.ui.importer.openDirectory",1505778931702
deactivated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505778936449
activated,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505778943897
closed,view,org.eclipse.ui.views,,"org.eclipse.ui.views.ContentOutline",1505778944168
closed,view,org.eclipse.ui.ide,3.12.2.v20161115-1450,"org.eclipse.ui.views.AllMarkersView",1505778944240
closed,view,org.eclipse.ui.navigator.resources,3.5.101.v20161006-0640,"org.eclipse.ui.navigator.ProjectExplorer",1505778944292
closed,workbench,org.eclipse.ui.workbench,3.108.2.v20161025-2029,"",1505778944616
stopped,bundle,org.eclipse.m2e.logback.configuration,1.7.0.20160603-1933,"org.eclipse.m2e.logback.configuration",1505778947484
stopped,bundle,org.eclipse.recommenders.apidocs.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.apidocs.rcp",1505778947503
stopped,bundle,org.eclipse.recommenders.coordinates.rcp,2.4.5.v20161130-1427,"org.eclipse.recommenders.coordinates.rcp",1505778947508
stopped,bundle,org.eclipse.recommenders.models,2.4.5.v20161130-1427,"org.eclipse.recommenders.models",1505778947548
stopped,bundle,org.eclipse.recommenders.coordinates,2.4.5.v20161130-1427,"org.eclipse.recommenders.coordinates",1505778948236
stopped,bundle,org.eclipse.egit.mylyn.ui,4.4.1.201607150455-r,"org.eclipse.egit.mylyn.ui",1505778948559
stopped,bundle,org.eclipse.tm.terminal.connector.local,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.local",1505778948561
stopped,bundle,org.eclipse.tm.terminal.connector.process,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.process",1505778948771
stopped,bundle,org.eclipse.tm.terminal.connector.serial,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.serial",1505778948789
stopped,bundle,org.eclipse.tm.terminal.connector.ssh,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.ssh",1505778948805
stopped,bundle,org.eclipse.tm.terminal.connector.telnet,4.2.0.201609191434,"org.eclipse.tm.terminal.connector.telnet",1505778948821
stopped,bundle,org.eclipse.tm.terminal.view.ui,4.2.0.201609191434,"org.eclipse.tm.terminal.view.ui",1505778948822
stopped,bundle,org.eclipse.egit.ui,4.4.1.201607150455-r,"org.eclipse.egit.ui",1505778948822
stopped,bundle,org.eclipse.oomph.setup.editor,1.6.0.v20161125-1207,"org.eclipse.oomph.setup.editor",1505778948824
